BCSA-Agar,bioMerieux,33631
Brain Heart Infusion (BHI),BD,220837
Brain Heart Infusion (BHI),bioMerieux,42081
Campylobacter-Agar,BD,254069
Candida Chromagar,BD,254106
Clostridium difficile Selektiv Agar,bioMerieux,43871
Columbia Blut-Agar,BD,254071
Columbia CNA-Agar,BD,254072
CPSE-Agar,bioMerieux,416172
DERM-Agar,BD,254429
DERM-Agar,bioMerieux,43062
Enterococcosel-Agar,BD,254019
ESBL-Agar,MAST,201470
Gardnerella Selektiv Agar,BD,254094
Gardnerella Selektiv Agar,bioMerieux,43411
GC Agar,BD,254060
GC Chocolat PolyViteX VCAT3 Agar,bioMerieux,43611
Hektoen Enteric Agar,BD,254075
Kligler-Eisen-Agar,BD,220897
KV-Agar,BD,254077
MacConkey II Agar,BD,254078
Martin-Lewis-Agar,BD,254029
MHE,bioMerieux,413824
MHF,BD,254081
MHF,bioMerieux,413824
MH II,BD,254081
MRSA-Agar,BD,257435
MRSA Agar,MAST,201402-1
PALCAM Listeria,OXOID,PO5104A
PVX Agar,bioMerieux,43109
Sabouraud GC 2 Agar,bioMerieux,43659
Sabouraud-Glucose GC Agar,BD,254096
Salmonella Chrom Agar,BD,254104
Schaedler Agar,BD,254084
Schaedler Agar (SNVS),bioMerieux,413194
Schaedler Bouillon (SCHAEDK3 B-T),bioMerieux,42106
Selenit,BD,221021
Selenit,bioMerieux,42099
STX-Bouillon,r-biopharm,Z1000
Thio-Bouillon,BD,221788
Thio-Bouillon,bioMerieux,42106
TSS-Agar,bioMerieux,43001
VRE Agar,MAST,201460
XLD Agar,BD,254090
XLD Agar,bioM,43563
Yersinia Selektiv Agar,BD,254088
